sample,t_ms,ch1_uv
214,204728.59,186831.0124
215,204748.44,186789.5275
216,204768.92,186851.1736
217,204788.76,186796.0095
218,204808.58,186841.6518
219,204828.41,186858.7062
220,204848.38,186993.9789
221,204868.85,186831.1018
222,204888.68,186868.0716
223,204908.55,186849.5420
224,204928.40,186888.6352
225,204948.77,186785.5489
226,204968.57,186923.3251
227,204988.40,186887.1376
228,205008.82,186858.0356
229,205028.64,186839.5507
230,205048.56,186929.2483
231,205068.53,186869.7256
232,205088.42,186911.3445
233,205108.24,186824.2621
234,205128.66,186885.8412
235,205148.55,186890.9597
236,205168.78,186867.6692
237,205188.63,186877.1687
238,205208.46,186893.1726
239,205228.27,186817.2884
240,205248.71,186856.2698
241,205268.40,186824.4410
242,205288.24,186825.4021
243,205308.07,186813.3321
244,205328.56,186797.5295
245,205348.41,186910.6963
246,205368.43,186840.5342
247,205388.31,186839.8860
248,205408.15,186891.4515
249,205428.58,186824.0163
250,205448.59,186960.9430
251,205468.43,186847.9550
252,205488.21,186833.4040
253,205508.07,186870.9102
254,205527.96,186845.0940
255,205548.45,186867.1328
256,205568.33,186847.9326
257,205588.32,186881.3932
258,205608.21,186863.5342
259,205628.05,186932.2658
260,205647.92,186906.0025
261,205668.40,186789.0134
262,205687.96,186893.6643
263,205708.44,186919.3241
264,205728.28,186856.4487
265,205748.09,186841.5847
266,205767.91,186845.8539
267,205792.11,186863.5565
268,205808.31,186906.5836
269,205828.16,186897.6653
270,205847.97,186838.8578
271,205867.79,186844.9822
272,205888.21,186868.9209
273,205907.97,186823.1669
274,205927.83,186933.2045
275,205948.27,186866.3058
276,205968.09,186835.6615
277,205987.91,186850.8384
278,206008.05,186837.9414
279,206027.93,186845.7869
280,206047.80,186818.7189
281,206067.62,186843.0823
282,206088.06,186895.0501
283,206128.26,186847.7762
284,206148.10,186837.8296
285,206167.94,186902.6944
286,206187.81,186807.1854
287,206207.63,186794.9367
288,206228.11,186824.2398
289,206247.96,186856.1804
290,206267.81,186788.7452
291,206287.63,186853.8335
292,206308.31,186807.6995
293,206327.83,186821.3117
294,206347.69,186827.0785
295,206367.51,186894.3572
296,206387.95,186840.2436
297,206407.75,186931.5505
298,206427.89,186825.4915
299,206447.79,186849.5643
300,206467.61,186888.5234
301,206487.43,186868.4068
302,206507.91,186821.6470
303,206527.95,186867.5351
304,206547.84,186827.0114
305,206567.67,186824.4633
306,206587.50,186829.1572
307,206607.32,186830.4536
308,206631.31,186794.6461
309,206647.46,186822.6975
310,206667.40,186794.3108
311,206687.34,186854.7723
312,206707.80,186811.4993
313,206727.64,186932.5563
314,206747.69,186870.8655
315,206767.54,186910.7410
316,206787.37,186805.4196
317,206807.20,186801.1057
318,206827.63,186853.8558
319,206847.65,186797.5295
320,206867.53,186829.3807
321,206887.34,186841.5177
322,206907.22,186857.5439
323,206927.61,186872.0055
324,206967.69,186818.0484
325,206987.54,186886.2212
326,207007.39,186846.7256
327,207027.22,186903.6108
328,207047.63,186896.4136
329,207067.42,186876.0958
330,207087.13,186860.8072
331,207107.53,186806.4702
332,207127.35,186903.0073
333,207147.18,186958.1044
334,207167.10,186911.8810
335,207187.57,186923.8615
336,207207.40,186810.7170
337,207227.29,186877.1017
338,207247.16,186841.8306
339,207287.24,186798.6023
340,207306.96,186838.7684
341,207327.37,186949.4766
342,207347.14,186772.7861
343,207366.92,186913.9597
344,207387.23,186781.2574
345,207407.04,186831.1688
346,207426.89,186877.3475
347,207447.34,186869.4127
348,207467.20,186819.7247
349,207486.85,186917.0889
350,207507.35,186941.0053
351,207527.23,186817.8025
352,207547.08,186845.4963
353,207566.93,186783.8278
354,207607.33,186866.3952
355,207627.12,186901.1298
356,207646.95,186836.3321
357,207666.77,186907.7459
358,207687.21,186849.8772
359,207706.76,186852.6712
360,207726.71,186744.0641
361,207747.19,186941.9441
362,207767.04,186863.5118
363,207786.89,186981.2161
364,207806.99,186950.3707
365,207826.86,186769.9474
366,207846.72,186860.2931
367,207866.57,186806.0678
368,207887.03,186897.3523
369,207910.45,186829.2242
370,207926.74,186818.5848
371,207946.59,186776.6306
372,207967.05,186847.2174
373,207986.87,186834.3651
374,208006.73,186831.4147
375,208027.00,186857.0298
376,208046.87,186845.7422
377,208066.71,186802.1116
378,208086.59,186842.6129
379,208106.43,186868.8092
380,208127.01,186760.2244
381,208146.90,186877.7275
382,208166.75,186867.5798
383,208186.59,186939.5077
384,208206.42,186842.3894
385,208229.38,186834.1193
386,208246.23,186826.2738
387,208266.70,186816.7520
388,208286.58,186932.1540
389,208306.39,186863.5565
390,208326.82,186899.2746
391,208346.43,186844.9599
392,208366.30,186812.1698
393,208386.77,186888.9034
394,208406.61,186831.3253
395,208426.44,186934.4786
396,208446.35,186822.3399
397,208466.22,186822.3846
398,208486.62,186771.9367
399,208506.46,186775.3118
400,208526.29,186880.4544
401,208549.78,186905.2872
402,208566.09,186891.9656
403,208586.55,186854.5711
404,208606.38,186793.2156
405,208626.20,186850.9501
406,208646.71,186805.3302
407,208666.38,186948.0237
408,208686.25,186913.0880
409,208706.07,186894.3572
410,208726.57,186805.0173
411,208746.39,186843.0600
412,208766.41,186776.5188
413,208786.20,186874.9335
414,208806.07,186891.9209
415,208825.92,186871.6702
